rank,surface,count,share,cum_share,tags
954,느냐면서,4,6.46657572505672e-07,0.9998383356068736,
955,섰,4,6.46657572505672e-07,0.9998389822644461,
956,는진,4,6.46657572505672e-07,0.9998396289220186,
957,더라도요,4,6.46657572505672e-07,0.9998402755795911,
958,라뇨,4,6.46657572505672e-07,0.9998409222371636,
959,으려니와,4,6.46657572505672e-07,0.9998415688947361,
960,치군,4,6.46657572505672e-07,0.9998422155523086,
961,엇다,4,6.46657572505672e-07,0.9998428622098812,
962,이든,4,6.46657572505672e-07,0.9998435088674537,
963,을께,4,6.46657572505672e-07,0.9998441555250261,
964,자와,4,6.46657572505672e-07,0.9998448021825986,
965,새,4,6.46657572505672e-07,0.9998454488401711,
966,잖냐,4,6.46657572505672e-07,0.9998460954977436,
967,시다,4,6.46657572505672e-07,0.9998467421553161,
968,다던가,4,6.46657572505672e-07,0.9998473888128887,
969,다요,4,6.46657572505672e-07,0.9998480354704612,
970,아다가,4,6.46657572505672e-07,0.9998486821280337,
971,인즉슨,4,6.46657572505672e-07,0.9998493287856062,
972,우려,4,6.46657572505672e-07,0.9998499754431787,
973,는대요,4,6.46657572505672e-07,0.9998506221007512,
974,어욧,4,6.46657572505672e-07,0.9998512687583236,
975,세욧,4,6.46657572505672e-07,0.9998519154158962,
976,래서,4,6.46657572505672e-07,0.9998525620734687,
977,우루,4,6.46657572505672e-07,0.9998532087310412,
978,자던,3,4.84993179379254e-07,0.9998536937242206,
979,을래야,3,4.84993179379254e-07,0.9998541787174,
980,는다구요,3,4.84993179379254e-07,0.9998546637105794,
981,니께,3,4.84993179379254e-07,0.9998551487037587,
982,면서요,3,4.84993179379254e-07,0.9998556336969381,
983,샨,3,4.84993179379254e-07,0.9998561186901175,
984,신다구,3,4.84993179379254e-07,0.9998566036832969,
985,밖엔,3,4.84993179379254e-07,0.9998570886764763,
986,오도,3,4.84993179379254e-07,0.9998575736696557,
987,대도,3,4.84993179379254e-07,0.9998580586628351,
988,수와,3,4.84993179379254e-07,0.9998585436560143,
989,는다던,3,4.84993179379254e-07,0.9998590286491937,
990,래면,3,4.84993179379254e-07,0.9998595136423731,
991,라니까요,3,4.84993179379254e-07,0.9998599986355525,
992,옵시,3,4.84993179379254e-07,0.9998604836287319,
993,라면서요,3,4.84993179379254e-07,0.9998609686219113,
994,으고,3,4.84993179379254e-07,0.9998614536150907,
995,드라는,3,4.84993179379254e-07,0.99986193860827,
996,아신,3,4.84993179379254e-07,0.9998624236014494,
997,으신다고,3,4.84993179379254e-07,0.9998629085946288,
998,어고,3,4.84993179379254e-07,0.9998633935878082,
999,와라,3,4.84993179379254e-07,0.9998638785809876,
1000,다손,3,4.84993179379254e-07,0.999864363574167,
1001,렀음을,3,4.84993179379254e-07,0.9998648485673464,
1002,을걸요,3,4.84993179379254e-07,0.9998653335605256,
1003,리이까,3,4.84993179379254e-07,0.999865818553705,
1004,기야,3,4.84993179379254e-07,0.9998663035468844,
1005,을께요,3,4.84993179379254e-07,0.9998667885400638,
1006,넌,3,4.84993179379254e-07,0.9998672735332432,
1007,대는,3,4.84993179379254e-07,0.9998677585264226,
1008,고저,3,4.84993179379254e-07,0.999868243519602,
1009,껜,3,4.84993179379254e-07,0.9998687285127813,
1010,을래요,3,4.84993179379254e-07,0.9998692135059607,
1011,아지,3,4.84993179379254e-07,0.9998696984991401,
1012,온데,3,4.84993179379254e-07,0.9998701834923195,
1013,하군,3,4.84993179379254e-07,0.9998706684854989,
1014,코야,3,4.84993179379254e-07,0.9998711534786783,
1015,라마,3,4.84993179379254e-07,0.9998716384718577,
1016,은들,3,4.84993179379254e-07,0.999872123465037,
1017,사이다,3,4.84993179379254e-07,0.9998726084582163,
1018,어지,3,4.84993179379254e-07,0.9998730934513957,
1019,다던데요,3,4.84993179379254e-07,0.9998735784445751,
1020,소라,3,4.84993179379254e-07,0.9998740634377545,
1021,라타,3,4.84993179379254e-07,0.9998745484309339,
1022,였으리라,3,4.84993179379254e-07,0.9998750334241133,
1023,을까란,3,4.84993179379254e-07,0.9998755184172926,
1024,올시다,3,4.84993179379254e-07,0.999876003410472,
1025,게요,3,4.84993179379254e-07,0.9998764884036514,
1026,야리아,3,4.84993179379254e-07,0.9998769733968308,
1027,라니요,3,4.84993179379254e-07,0.9998774583900102,
1028,잖니,3,4.84993179379254e-07,0.9998779433831896,
1029,런들,3,4.84993179379254e-07,0.999878428376369,
1030,어만,3,4.84993179379254e-07,0.9998789133695483,
1031,야사,3,4.84993179379254e-07,0.9998793983627277,
1032,거다,3,4.84993179379254e-07,0.999879883355907,
1033,으라는데,3,4.84993179379254e-07,0.9998803683490864,
1034,을라,3,4.84993179379254e-07,0.9998808533422658,
1035,므로서,3,4.84993179379254e-07,0.9998813383354452,
1036,으오,3,4.84993179379254e-07,0.9998818233286246,
1037,게서,3,4.84993179379254e-07,0.9998823083218039,
1038,러면,3,4.84993179379254e-07,0.9998827933149833,
1039,련만,3,4.84993179379254e-07,0.9998832783081627,
1040,먀,3,4.84993179379254e-07,0.9998837633013421,
1041,로니,3,4.84993179379254e-07,0.9998842482945215,
1042,느냔,3,4.84993179379254e-07,0.9998847332877009,
1043,네유,3,4.84993179379254e-07,0.9998852182808803,
1044,을라고,3,4.84993179379254e-07,0.9998857032740596,
1045,으나마나,3,4.84993179379254e-07,0.999886188267239,
1046,으다,3,4.84993179379254e-07,0.9998866732604184,
1047,지오,3,4.84993179379254e-07,0.9998871582535978,
1048,게에,3,4.84993179379254e-07,0.9998876432467771,
1049,으셔요,3,4.84993179379254e-07,0.9998881282399565,
1050,으셨더라구요,3,4.84993179379254e-07,0.9998886132331359,
1051,슴니다,3,4.84993179379254e-07,0.9998890982263153,
1052,은진,3,4.84993179379254e-07,0.9998895832194946,
1053,으리로다,3,4.84993179379254e-07,0.999890068212674,
1054,으신가,3,4.84993179379254e-07,0.9998905532058534,
1055,든데,3,4.84993179379254e-07,0.9998910381990328,
1056,어니,3,4.84993179379254e-07,0.9998915231922122,
1057,라손,3,4.84993179379254e-07,0.9998920081853916,
1058,깨나,3,4.84993179379254e-07,0.999892493178571,
1059,달,3,4.84993179379254e-07,0.9998929781717503,
1060,예여,3,4.84993179379254e-07,0.9998934631649297,
1061,드라구요,3,4.84993179379254e-07,0.9998939481581091,
