rank,surface,count,share,cum_share,tags
624,다니요,15,2.4165457991009484e-06,0.9993678316189551,
625,라구,15,2.4165457991009484e-06,0.9993702481647543,
626,더라구,14,2.2554427458275516e-06,0.9993725036075001,
627,주,14,2.2554427458275516e-06,0.999374759050246,
628,느뇨,14,2.2554427458275516e-06,0.9993770144929918,
629,고라도,14,2.2554427458275516e-06,0.9993792699357376,
630,지의,14,2.2554427458275516e-06,0.9993815253784835,
631,다지요,14,2.2554427458275516e-06,0.9993837808212293,
632,러서야,14,2.2554427458275516e-06,0.999386036263975,
633,으실까,14,2.2554427458275516e-06,0.9993882917067209,
634,라니까,14,2.2554427458275516e-06,0.9993905471494667,
635,가지,14,2.2554427458275516e-06,0.9993928025922125,
636,렵니다,14,2.2554427458275516e-06,0.9993950580349584,
637,다라,14,2.2554427458275516e-06,0.9993973134777042,
638,리야,14,2.2554427458275516e-06,0.99939956892045,
639,욤,14,2.2554427458275516e-06,0.9994018243631959,
640,다오,14,2.2554427458275516e-06,0.9994040798059417,
641,신데,14,2.2554427458275516e-06,0.9994063352486875,
642,재,14,2.2554427458275516e-06,0.9994085906914334,
643,세여,14,2.2554427458275516e-06,0.9994108461341792,
644,한텐,14,2.2554427458275516e-06,0.999413101576925,
645,신다고요,13,2.094339692554155e-06,0.9994151959166175,
646,아야죠,13,2.094339692554155e-06,0.9994172902563101,
647,께로,13,2.094339692554155e-06,0.9994193845960027,
648,다면요,13,2.094339692554155e-06,0.9994214789356952,
649,답니당,13,2.094339692554155e-06,0.9994235732753878,
650,을런지,13,2.094339692554155e-06,0.9994256676150803,
651,들,13,2.094339692554155e-06,0.9994277619547729,
652,데이,13,2.094339692554155e-06,0.9994298562944655,
653,려구,13,2.094339692554155e-06,0.999431950634158,
654,더랬죠,13,2.094339692554155e-06,0.9994340449738506,
655,더만,13,2.094339692554155e-06,0.9994361393135431,
656,읍시다,13,2.094339692554155e-06,0.9994382336532357,
657,우려,13,2.094339692554155e-06,0.9994403279929283,
658,내,13,2.094339692554155e-06,0.9994424223326208,
659,을려고,13,2.094339692554155e-06,0.9994445166723134,
660,더이,13,2.094339692554155e-06,0.9994466110120059,
661,라구요,12,1.933236639280759e-06,0.9994485442486452,
662,돠,12,1.933236639280759e-06,0.9994504774852845,
663,리이까,12,1.933236639280759e-06,0.9994524107219237,
664,지니라,12,1.933236639280759e-06,0.999454343958563,
665,을가,12,1.933236639280759e-06,0.9994562771952022,
666,어야죠,12,1.933236639280759e-06,0.9994582104318416,
667,렸다,12,1.933236639280759e-06,0.9994601436684808,
668,으셨는데,12,1.933236639280759e-06,0.9994620769051201,
669,어다가,12,1.933236639280759e-06,0.9994640101417595,
670,려거든,12,1.933236639280759e-06,0.9994659433783987,
671,끔,12,1.933236639280759e-06,0.999467876615038,
672,라타,12,1.933236639280759e-06,0.9994698098516772,
673,서요,12,1.933236639280759e-06,0.9994717430883165,
674,라메,12,1.933236639280759e-06,0.9994736763249558,
675,드나,12,1.933236639280759e-06,0.9994756095615951,
676,지나,12,1.933236639280759e-06,0.9994775427982344,
677,련다,12,1.933236639280759e-06,0.9994794760348736,
678,슴니다,12,1.933236639280759e-06,0.999481409271513,
679,리란,11,1.772133586007362e-06,0.999483181405099,
680,냐면서,11,1.772133586007362e-06,0.9994849535386849,
681,염,11,1.772133586007362e-06,0.9994867256722709,
682,으셨다고,11,1.772133586007362e-06,0.9994884978058569,
683,게나,11,1.772133586007362e-06,0.999490269939443,
684,데로,11,1.772133586007362e-06,0.999492042073029,
685,능,11,1.772133586007362e-06,0.999493814206615,
